GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JabberPoint,jabberpoint.command.context,DefaultCommandContext,66,0,2,0,18,0,8,0,7,0
JabberPoint,jabberpoint.observer,Event.PresentationState,0,27,0,0,0,10,0,5,0,5
JabberPoint,jabberpoint.observer,Event,0,27,0,0,0,5,0,1,0,1
JabberPoint,jabberpoint.observer,Publisher,0,40,0,4,0,12,0,6,0,4
JabberPoint,jabberpoint.command,NewFileCommand,0,26,0,4,0,7,0,4,0,2
JabberPoint,jabberpoint.command,SaveFileCommand,26,31,4,6,9,10,3,4,0,2
JabberPoint,jabberpoint.command,NextSlideCommand,0,15,0,2,0,5,0,3,0,2
JabberPoint,jabberpoint.command,PreviousSlideCommand,0,15,0,2,0,5,0,3,0,2
JabberPoint,jabberpoint.command,AboutBoxCommand,0,8,0,0,0,3,0,2,0,2
JabberPoint,jabberpoint.command,ExitCommand,0,30,1,5,0,8,1,4,0,2
JabberPoint,jabberpoint.command,GoToSlideCommand,0,45,1,3,0,13,1,4,0,3
JabberPoint,jabberpoint.command,OpenFileCommand,21,43,3,5,6,16,2,5,0,3
JabberPoint,jabberpoint.controller,MenuController,161,0,6,0,42,0,12,0,9,0
JabberPoint,jabberpoint.controller,KeyController,3,67,0,8,2,18,0,9,0,5
JabberPoint,jabberpoint.presentation,Style,0,144,0,2,0,28,0,14,0,13
JabberPoint,jabberpoint.presentation,Slide,0,47,0,0,0,15,0,9,0,9
JabberPoint,jabberpoint.presentation,SlideDrawer,3,84,0,2,1,13,1,3,1,2
JabberPoint,jabberpoint.presentation,Presentation,3,119,0,12,2,31,1,18,1,12
JabberPoint,jabberpoint,JabberPoint,59,0,2,0,16,0,3,0,2,0
JabberPoint,jabberpoint.constants,Constants.ErrorMessages,3,0,0,0,1,0,1,0,1,0
JabberPoint,jabberpoint.constants,Constants.XML,3,0,0,0,1,0,1,0,1,0
JabberPoint,jabberpoint.constants,Constants.Commands,3,0,0,0,1,0,1,0,1,0
JabberPoint,jabberpoint.constants,Constants.Files,3,0,0,0,1,0,1,0,1,0
JabberPoint,jabberpoint.constants,Constants.Info,3,0,0,0,1,0,1,0,1,0
JabberPoint,jabberpoint.constants,Constants.UI,3,5,0,0,1,2,1,1,1,1
JabberPoint,jabberpoint.constants,Constants,3,0,0,0,1,0,1,0,1,0
JabberPoint,jabberpoint.constants,Constants.TextItems,3,0,0,0,1,0,1,0,1,0
JabberPoint,jabberpoint.slideitem,SlideItemFactory,9,71,0,8,3,16,1,8,1,4
JabberPoint,jabberpoint.slideitem,SlideItem,0,16,0,0,0,7,0,3,0,3
JabberPoint,jabberpoint.slideitem,TextItem,0,244,2,12,0,47,2,14,0,9
JabberPoint,jabberpoint.slideitem,BitmapItemFactory,0,50,2,10,0,10,2,7,0,3
JabberPoint,jabberpoint.slideitem,BitmapItem,0,155,0,8,0,33,0,12,0,8
JabberPoint,jabberpoint.slideitem,TextItemFactory,1,42,2,8,0,10,2,6,0,3
JabberPoint,jabberpoint.accessor,XMLWriter,0,83,0,4,0,22,0,6,0,4
JabberPoint,jabberpoint.accessor,Accessor,4,3,0,0,1,2,1,1,1,1
JabberPoint,jabberpoint.accessor,XMLReader,32,134,2,6,12,34,3,6,1,4
JabberPoint,jabberpoint.accessor,DemoPresentation,0,133,0,0,0,35,0,3,0,3
JabberPoint,jabberpoint.accessor,XMLAccessor,6,25,0,0,1,8,1,3,1,3
